21.06.02,非一字连板（20）,,,,,
概念,股票代码,股票名称,打板时间,第几板,成交额,涨幅
智慧药房,605186,健麾信息,14:05,7,3.37,
原料药,002940,昂利康,09:31,3,2.85,
三胎,603059,倍加洁,11:06,4,3.97,
电商/纺服,603196,日播时尚,09:30,3,0.26,
,002269,美邦服饰,10:01,9天6板,11.11,
,605080,浙江自然,09:51,2,3.39,
白酒,000995,皇台酒业,14:14,3,11.56,
锂电池,603787,新日股份,15:00,3,5.73 ,
海航系,600751,海航科技,14:25,2,8.00 ,
光刻胶,603650,彤程新材,10:15,3,8.45,
摘帽,002319,乐通股份,09:40,2,0.52,
,002426,胜利精密,10:12,2,11.10 ,
,600354,敦煌种业,14:42,2,5.02,
顺周期,000949,新乡化纤,09:38,2,3.31,
21.06.02,大消费（10）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
电商/纺服,603196,日播时尚,09:30,3,0.26,
,002269,美邦服饰,10:01,9天6板,11.11,
,605080,浙江自然,09:51,2,3.39,
,603839,安正时尚,09:58,1,1.67,
,600137,浪莎股份,09:59,1,1.70 ,
,003041,真爱美家,10:00,1,2.10 ,
,605055,迎丰股份,14:00,1,3.11,
,600704,物产中大,14:34,5天3板,30.70 ,
白酒,000995,皇台酒业,14:14,3,11.56,
医美,300158,振东制药,11:01,1,10.28,
21.06.02,碳中和（8）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
碳交易,600744,华银电力,13:47,1,24.06,
林业碳汇,600963,岳阳林纸,13:47,9天6板,18.05,
生物质能,002616,长青集团,09:48,1,1.19,
,603822,嘉澳环保,14:28,1,1.8,
,000803,北清环能,14:45,1,0.58,
节能环保,000925,众合科技,13:13,1,2.66,
,603759,海天股份,13:55,1,5.07,
碳捕捉,002341,新纶科技,14:10,4天3板,11.13,
21.06.02,新能源汽车（8）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
锂电池,603787,新日股份,15:00,3,5.73 ,
,002346,柘中股份,09:46,1,0.8,
充电桩/植物照明,002660,茂硕电源,13:23,1,1.91,
,300582,英飞特,涨幅,15.89,8.78,
零部件,002931,锋龙股份,09:34,1,0.8,
,603178,圣龙股份,09:48,1,1.29,
,002341,新论科技,14:10,4天3板,11.13,
华为汽车,600006,东风汽车,11:20,1,10.95,
21.06.02,科技股（8）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
光刻胶,603650,彤程新材,10:15,3,8.45,
,688004,博汇科技,09:34,1,0.49,
,002943,宇晶股份,10:41,1,0.64,
,000925,众合科技,13:13,1,2.66,
,003031,中瓷电子,13:29,1,2.92,
,688589,力合微,涨幅,18.1,3.12,
,688355,明志科技,涨幅,12.42,2.72,
,300709,精研科技,涨幅,10.74,2.59,
21.06.02,次新股（7）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
,605186,健麾信息,14:05,7,3.37,
,605305,中际联合,09:30,1,0.89,
,003043,华亚智能,11:18,1,3.6,
,003001,中岩大地,14:07,1,3.51,
,300853,申昊科技,14:52,1,4.14,
科创,688215,瑞晟智能,涨幅,11.28,0.84,
,688359,三孚科技,涨幅,10.76,2.074,
21.06.02,顺周期（6）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
化工,000949,新乡化纤,09:38,2,3.31,
,600423,柳化股份,10:54,1,0.52,
油气,300157,恒泰艾普,14:09,1,3.8,
,300191,潜能恒信,14:50,1,5.86,
煤炭,600546,山煤国际,10:31,1,6.95,
,601015,陕西黑猫,13:39,1,16,
21.06.02,摘帽（6）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
,002280,联络互动,09:30,7,0.21,
,002319,乐通股份,09:40,2,0.52,
,002426,胜利精密,10:12,2,11.1,
,600354,敦煌种业,14:42,2,5.02,
,002290,禾盛新材,13:41,1,0.86,
,600423,柳化股份,10:54,1,0.52,
21.06.02,医药（6）,,,,,
,股票代码,股票名称,打板时间,第几板,成交额,涨幅
智慧药房,605186,健麾信息,14:05,7,3.37,
原料药,002940,昂利康,09:31,3,2.85,
,002923,润都股份,10:17,1,1.67,
,688136,科兴制药,14:43,1,7.05,
,603168,莎普爱思,14:45,1,2.30 ,
,688221,前沿生物,涨幅,11.84,4.45,
