23.06.01,Al-XR（20（181.14亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300081,恒信东方,20,15.49,VR内容,
,688079,美迪凯,14.04,3.77,光波导,
,301066,万事利,12.17,3.21,NFT,
,300079,数码视讯,1123,13.85,VR内容,
,300134,大富科技,10.55,452,VR设计,
,002843,泰嘉股份,10.02,4.06,苹果MR,
,605588,冠石科技,10.01,1.2,OLED,
,002395,双象股份,9.99,0.47,光学PMMA,
,000810,创维数字,9.98,13.07,VR终端,
,603629,利通电子,9.98,295,OLED,
,301360,荣旗科技,8.9,616,检测,
,300115,长盈精密,8.7,16.05,模组,
,301302,华如科技,8.05,3.32,军工VR,
,000156,华数传媒,6.94,535,虚拟人,
,688496,清越科技,6.1,4.19,硅基OLED,
,300182,捷成股份,5.97,16.66,虚拟人,涨幅
,301312,智立方,4.57,395,检测,
,300949,奥雅股份,4.53,1.02,VR设计,
,002475,立讯精密,4.4,34.1,代工,
,002241,歌尔股份,4.35,24.98,代工,
23.06.01,Al-出版（9（82.76亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,
,301231,荣信文化,14.66,545,,
,300654,世纪天鸿,1.52,11.93,,
,601949,中国出版,10,1676,,
,601900,南方传媒,9.98,9.69,,
,601921,浙版传媒,9.95,10.15,,
,600373,中文传媒,6.49,753,,
,601858,中国科传,5.72,16.74,,
,301025,读客文化,537,2.68,,
,603096,新经典,5.21,1.83,,
23.06.01,AI-影视（9）（66.66亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,涨幅
,300426,唐德影视,11.19,5.84,,
,002292,奥飞娱乐,9.97,9.16,,
,600088,中视传媒,755,7.62,,
,601599,浙文影业,7.11,4.26,,
,603721,中广天择,6.87,3,,
,300182,捷成股份,5.97,16.66,,
,300291,百纳千成,5.78,4.68,,
,002343,慈文传媒,4.34,5.24,,
,601595,上海电影,4.22,10.2,,
23.06.01,AI-游戏（6）（91.20亿）,,,,,
,股票代码,股票名称,跌幅,成交金额,属性,
,300299,富春股份,11.35,13.38,,
,002602,世纪华通,9.97,19.43,,涨幅
,300031,宝通科技,8.97,20.63,,
,300148,天舟文化,6.45,9.49,,
,603258,电魂网络,4.32,9.56,,
,2174,游族网络,3.78,18.71,,
23.06.01,AI-其他应用（15）（188.87亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,
,300654,世纪天鸿,11.52,11.93,教育/出版,
,688365,光云科技,11.02,4.49,电商,
,600661,昂立教育,10.02,2.32,教育,
,002230,科大讯飞,10.01,62.61,教育/大模型,
,688111,金山办公,9.03,35.6,办公,
,300781,因赛集团,8.01,2.44,营销,
,300559,佳发教育,6.92,2.27,教育,涨幅
,301110,青木股份,652,3.2,电商,
,300058,蓝色光标,520,43.12,营销,
,300592,华凯易佰,5.12,5.18,电商,
,605098,行动教育,4.88,0.97,教育,
,600228,返利科技,4.37,4.59,营销,
,300063,天龙集团,4.2,2,营销,
,603825,华扬联众,4.06,195,营销,
,300785,值得买,4.02,295,营销,涨幅
23.06.01,脑机接口（7（59.65亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,
,301293,三博脑科,16.79,20.55,,
,688068,热景生物,10.24,3,,
,600560,金自天正,10.03,2.32,,
,002173,创新医疗,10.01,0.75,,
,603869,新智认知,9.97,86,,
,002362,汉王科技,5.67,19.72,,
,300404,博济医药,5.02,8.45,,
23.06.01,消费（9）（37.12亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,
,000888,峨眉山A,10.03,4.96,寺庙经济,
,603199,九华旅游,9.99,35,寺庙经济,
,000917,电广传媒,9.98,9.51,彩票经济,
,600158,中体产业,9.98,7.89,彩票经济,涨幅
,603099,长白山,9.16,2.87,旅游,
,600573,惠泉啤酒,7.61,2.72,啤酒,
,603076,乐惠国际,5.89,1.45,啤酒,
,000929,兰州黄河,435,1.06,啤酒,
,000665,湖北广电,3.42,2.31,彩票经济,
23.06.01,汽车（5）（10.25亿）,,,,,
,股票代码,股票名称,跌幅,成交金额,属性,
,600822,上海物贸,10.06,1.66,,
,002805,丰元股份,10.01,127,,
,600213,亚星客车,10.01,1.05,,涨幅
,605118,力鼎光电,9.99,2.77,,
,600246,万通发展,9.93,350,,
23.06.01,医药（8（33.51亿）,,,,,
,股票代码,股票名称,涨跌幅,成交金额,属性,
,301293,三博脑科,16.79,20.55,脑机,
,300404,博济医药,5.02,8.45,脑机,
,300759,康龙化成,4.82,13.9,CXO,
,688222,成都先导,4.77,2.59,CXO,
,301103,何氏眼科,4.25,1.46,眼科,涨幅
,603882,金域医学,4.15,2.5,检测,
,688202,美迪西,3.87,2.65,CXO,
,301230,泓博医药,3.84,1.96,CXO,
